N,Min,Max,Random Number,Steps
50000,1,500000,4027,69
50000,1,500000,21907,43
50000,1,500000,2030,37
50000,1,500000,28644,134
50000,1,500000,23262,175
50000,1,500000,4497,46
50000,1,500000,9731,47
50000,1,500000,8375,65
50000,1,500000,9070,91
50000,1,500000,12802,125
50000,1,500000,13449,226
50000,1,500000,2782,115
50000,1,500000,29716,41
50000,1,500000,8704,21
50000,1,500000,4354,139
50000,1,500000,31070,116
50000,1,500000,273,29
50000,1,500000,17623,53
50000,1,500000,20823,149
50000,1,500000,11026,99
50000,1,500000,19490,136
50000,1,500000,6750,137
50000,1,500000,9940,91
50000,1,500000,14752,40
50000,1,500000,16294,97
50000,1,500000,32136,28
50000,1,500000,29300,72
50000,1,500000,27819,152
50000,1,500000,1282,52
50000,1,500000,12598,63
50000,1,500000,28255,59
50000,1,500000,19786,123
50000,1,500000,6725,44
50000,1,500000,12111,94
50000,1,500000,4273,64
50000,1,500000,3513,56
50000,1,500000,27400,59
50000,1,500000,28179,64
50000,1,500000,2941,48
50000,1,500000,6479,124
50000,1,500000,28825,72
50000,1,500000,4012,43
50000,1,500000,3602,162
50000,1,500000,24752,38
50000,1,500000,7512,88
50000,1,500000,12294,112
50000,1,500000,11132,117
50000,1,500000,13892,107
50000,1,500000,5984,49
50000,1,500000,17633,154
50000,1,500000,2638,146
50000,1,500000,20200,43
50000,1,500000,1642,29
50000,1,500000,17445,141
50000,1,500000,16799,71
50000,1,500000,15075,133
50000,1,500000,30959,116
50000,1,500000,1141,106
50000,1,500000,1875,174
50000,1,500000,27419,170
50000,1,500000,9357,60
50000,1,500000,3078,35
50000,1,500000,5020,90
50000,1,500000,5769,173
50000,1,500000,1452,47
50000,1,500000,16818,66
50000,1,500000,23999,95
50000,1,500000,5098,59
50000,1,500000,8801,78
50000,1,500000,13384,94
50000,1,500000,5660,36
50000,1,500000,31671,103
50000,1,500000,29843,134
50000,1,500000,27687,46
50000,1,500000,361,45
50000,1,500000,9816,135
50000,1,500000,16220,159
50000,1,500000,31499,85
50000,1,500000,6462,168
50000,1,500000,23189,144
50000,1,500000,21425,30
50000,1,500000,15910,146
50000,1,500000,5590,67
50000,1,500000,16461,115
50000,1,500000,2118,32
50000,1,500000,1651,135
50000,1,500000,17684,97
50000,1,500000,27498,152
50000,1,500000,26796,139
50000,1,500000,6983,88
50000,1,500000,21188,100
50000,1,500000,4884,41
50000,1,500000,24508,64
50000,1,500000,19241,74
50000,1,500000,26148,108
50000,1,500000,18725,48
50000,1,500000,24889,157
50000,1,500000,32483,41
50000,1,500000,14498,71
50000,1,500000,17885,48
50000,1,500000,22193,69
50000,1,500000,729,33
50000,1,500000,2536,40
50000,1,500000,7128,49
50000,1,500000,21412,48
50000,1,500000,31386,178
50000,1,500000,5398,67
50000,1,500000,26684,183
50000,1,500000,21737,162
50000,1,500000,12981,138
50000,1,500000,27470,64
50000,1,500000,21303,100
50000,1,500000,3916,51
50000,1,500000,17614,79
50000,1,500000,22390,69
50000,1,500000,29865,77
50000,1,500000,4476,90
50000,1,500000,16880,172
50000,1,500000,12089,50
50000,1,500000,28957,46
50000,1,500000,15653,146
50000,1,500000,22309,43
50000,1,500000,13647,120
50000,1,500000,25342,157
50000,1,500000,23385,144
50000,1,500000,8260,127
50000,1,500000,28927,77
50000,1,500000,25608,170
50000,1,500000,20532,56
50000,1,500000,7435,44
50000,1,500000,7906,52
50000,1,500000,19196,167
50000,1,500000,12736,125
50000,1,500000,31853,253
50000,1,500000,7913,101
50000,1,500000,29080,72
50000,1,500000,17942,141
50000,1,500000,12845,125
50000,1,500000,929,129
50000,1,500000,5830,36
50000,1,500000,11462,29
50000,1,500000,2732,40
50000,1,500000,9910,73
50000,1,500000,12564,125
50000,1,500000,14201,102
50000,1,500000,12544,32
50000,1,500000,26295,64
50000,1,500000,17764,185
50000,1,500000,13781,107
50000,1,500000,23365,82
50000,1,500000,29208,46
50000,1,500000,5604,98
50000,1,500000,14497,133
50000,1,500000,4408,46
50000,1,500000,17277,128
50000,1,500000,15681,53
50000,1,500000,4138,126
50000,1,500000,16642,53
50000,1,500000,13110,50
50000,1,500000,2584,102
50000,1,500000,2533,32
50000,1,500000,5713,173
