N,Min,Max,Random Number,Steps
10000,1,50000,5494,67
10000,1,50000,5148,147
10000,1,50000,7656,57
10000,1,50000,30458,134
10000,1,50000,12627,156
10000,1,50000,30409,59
10000,1,50000,14675,177
10000,1,50000,10146,34
10000,1,50000,12000,50
10000,1,50000,1748,117
10000,1,50000,18781,110
10000,1,50000,10305,148
10000,1,50000,18186,141
10000,1,50000,27525,121
10000,1,50000,8703,109
10000,1,50000,24448,51
10000,1,50000,24099,43
10000,1,50000,28405,90
10000,1,50000,16318,66
10000,1,50000,1884,130
10000,1,50000,30600,41
10000,1,50000,13087,107
10000,1,50000,30836,54
10000,1,50000,10966,117
10000,1,50000,3201,167
10000,1,50000,15674,84
10000,1,50000,10578,55
10000,1,50000,11244,60
10000,1,50000,19048,79
10000,1,50000,19271,74
10000,1,50000,1574,60
10000,1,50000,26057,139
10000,1,50000,31758,147
10000,1,50000,10214,179
10000,1,50000,28122,152
10000,1,50000,16185,53
10000,1,50000,8794,34
10000,1,50000,28781,121
10000,1,50000,26685,183
10000,1,50000,16735,159
10000,1,50000,51,24
10000,1,50000,315,37
10000,1,50000,12551,156
10000,1,50000,1706,16
10000,1,50000,7584,39
10000,1,50000,31818,147
10000,1,50000,29719,72
10000,1,50000,5637,85
10000,1,50000,1582,78
10000,1,50000,7684,145
10000,1,50000,7934,52
10000,1,50000,32334,72
10000,1,50000,18067,48
10000,1,50000,21592,69
10000,1,50000,27585,152
10000,1,50000,17930,48
10000,1,50000,28048,59
10000,1,50000,19468,48
10000,1,50000,2267,89
10000,1,50000,855,54
10000,1,50000,5148,147
10000,1,50000,26709,139
10000,1,50000,642,25
10000,1,50000,12321,156
10000,1,50000,12478,50
10000,1,50000,22693,206
10000,1,50000,20779,87
10000,1,50000,3737,100
10000,1,50000,14907,71
10000,1,50000,16580,40
10000,1,50000,12624,32
10000,1,50000,12771,125
10000,1,50000,23921,51
10000,1,50000,10018,91
10000,1,50000,10353,104
10000,1,50000,32527,41
10000,1,50000,19075,79
10000,1,50000,7532,88
10000,1,50000,23385,144
10000,1,50000,14923,71
10000,1,50000,23862,219
10000,1,50000,22365,69
10000,1,50000,6562,75
10000,1,50000,29783,134
10000,1,50000,9371,184
10000,1,50000,9175,122
10000,1,50000,17019,159
10000,1,50000,27705,90
10000,1,50000,3567,193
10000,1,50000,31794,54
10000,1,50000,26281,100
10000,1,50000,14641,45
10000,1,50000,14015,58
10000,1,50000,7636,39
10000,1,50000,19404,167
10000,1,50000,20719,61
10000,1,50000,10831,42
10000,1,50000,25089,157
10000,1,50000,13540,182
10000,1,50000,15876,146
10000,1,50000,3645,43
10000,1,50000,18421,61
10000,1,50000,5139,54
10000,1,50000,6807,62
10000,1,50000,610,38
10000,1,50000,25904,51
10000,1,50000,2469,133
10000,1,50000,9049,47
10000,1,50000,14329,102
10000,1,50000,12306,94
10000,1,50000,21581,162
10000,1,50000,30395,59
10000,1,50000,1027,36
10000,1,50000,22695,87
10000,1,50000,5809,49
10000,1,50000,21598,162
10000,1,50000,28906,121
10000,1,50000,9156,109
10000,1,50000,5673,204
10000,1,50000,28874,46
10000,1,50000,4964,41
10000,1,50000,31827,103
10000,1,50000,22212,131
10000,1,50000,12644,156
10000,1,50000,9882,135
10000,1,50000,12011,42
10000,1,50000,14477,58
10000,1,50000,25754,77
10000,1,50000,13194,32
10000,1,50000,932,85
10000,1,50000,31244,103
10000,1,50000,19041,105
10000,1,50000,18345,123
10000,1,50000,10793,117
10000,1,50000,17423,110
10000,1,50000,225,52
10000,1,50000,32461,116
10000,1,50000,11278,86
10000,1,50000,8874,21
10000,1,50000,10606,148
10000,1,50000,25675,64
10000,1,50000,22884,82
10000,1,50000,3964,100
10000,1,50000,22971,69
10000,1,50000,28508,165
10000,1,50000,25483,201
10000,1,50000,28980,72
10000,1,50000,11594,143
10000,1,50000,7878,26
10000,1,50000,6728,44
10000,1,50000,13396,45
10000,1,50000,2855,128
10000,1,50000,30648,178
10000,1,50000,32535,129
10000,1,50000,24885,38
10000,1,50000,29654,121
10000,1,50000,27637,59
10000,1,50000,8899,70
10000,1,50000,21323,56
10000,1,50000,27530,108
10000,1,50000,27444,33
10000,1,50000,307,37
10000,1,50000,30123,90
10000,1,50000,21656,43
10000,1,50000,9159,197
10000,1,50000,20359,35
10000,1,50000,10442,55
10000,1,50000,20010,30
10000,1,50000,13948,133
10000,1,50000,28772,165
10000,1,50000,13704,32
10000,1,50000,27448,121
10000,1,50000,25025,87
10000,1,50000,651,100
10000,1,50000,29037,165
10000,1,50000,21940,118
10000,1,50000,26635,170
10000,1,50000,15793,40
10000,1,50000,30770,178
10000,1,50000,12805,169
10000,1,50000,13688,151
10000,1,50000,4491,183
10000,1,50000,7811,101
10000,1,50000,22199,92
10000,1,50000,2227,138
10000,1,50000,15144,40
10000,1,50000,515,123
10000,1,50000,11377,37
10000,1,50000,8984,47
10000,1,50000,17539,141
10000,1,50000,23185,188
10000,1,50000,18983,53
10000,1,50000,17432,48
10000,1,50000,8793,127
10000,1,50000,28874,46
10000,1,50000,8592,26
10000,1,50000,29663,240
10000,1,50000,25656,51
10000,1,50000,24014,69
10000,1,50000,20443,149
10000,1,50000,24885,38
10000,1,50000,10969,42
10000,1,50000,30791,209
10000,1,50000,26270,77
10000,1,50000,22178,56
10000,1,50000,22703,100
10000,1,50000,4776,28
10000,1,50000,16655,66
10000,1,50000,2774,66
10000,1,50000,12480,125
10000,1,50000,28339,59
10000,1,50000,14710,102
10000,1,50000,20551,74
10000,1,50000,22452,131
10000,1,50000,2622,102
10000,1,50000,21218,30
10000,1,50000,26652,69
10000,1,50000,27435,90
10000,1,50000,10550,104
10000,1,50000,11035,99
10000,1,50000,31818,147
10000,1,50000,9044,21
10000,1,50000,16612,66
10000,1,50000,18649,110
10000,1,50000,1277,57
10000,1,50000,12988,50
10000,1,50000,10351,117
10000,1,50000,6707,44
10000,1,50000,7481,163
10000,1,50000,22627,113
10000,1,50000,12963,169
10000,1,50000,14170,58
10000,1,50000,2753,128
10000,1,50000,22549,87
10000,1,50000,5360,72
10000,1,50000,15751,146
10000,1,50000,32056,46
10000,1,50000,19703,74
10000,1,50000,16310,128
10000,1,50000,22066,100
10000,1,50000,18566,61
10000,1,50000,2657,53
10000,1,50000,3008,110
10000,1,50000,16005,45
10000,1,50000,7805,176
10000,1,50000,32491,67
10000,1,50000,24846,95
10000,1,50000,25360,82
10000,1,50000,3005,141
10000,1,50000,19915,74
10000,1,50000,15063,63
10000,1,50000,25534,201
10000,1,50000,15316,58
10000,1,50000,4702,59
10000,1,50000,11470,174
10000,1,50000,5128,54
10000,1,50000,18602,123
10000,1,50000,516,123
10000,1,50000,19877,74
10000,1,50000,19304,74
10000,1,50000,6429,168
10000,1,50000,24625,113
10000,1,50000,10959,192
10000,1,50000,6673,31
10000,1,50000,4840,20
10000,1,50000,30913,191
10000,1,50000,10635,55
10000,1,50000,13789,58
10000,1,50000,9161,153
10000,1,50000,5260,54
10000,1,50000,31006,178
10000,1,50000,13191,125
10000,1,50000,26083,46
10000,1,50000,7227,132
10000,1,50000,31327,178
10000,1,50000,24602,157
10000,1,50000,25441,56
10000,1,50000,23898,51
10000,1,50000,16505,71
10000,1,50000,20137,118
10000,1,50000,15708,84
10000,1,50000,9646,166
10000,1,50000,3821,30
10000,1,50000,28225,152
10000,1,50000,14846,239
10000,1,50000,10440,55
10000,1,50000,30934,85
10000,1,50000,15388,146
10000,1,50000,32232,98
10000,1,50000,25562,77
10000,1,50000,1393,34
10000,1,50000,26135,108
10000,1,50000,29906,72
10000,1,50000,29642,165
10000,1,50000,32220,72
10000,1,50000,29030,72
10000,1,50000,11633,50
10000,1,50000,4485,46
10000,1,50000,18462,92
10000,1,50000,14727,133
10000,1,50000,11422,130
10000,1,50000,10390,104
10000,1,50000,29544,72
10000,1,50000,23412,144
10000,1,50000,31668,147
10000,1,50000,15351,177
10000,1,50000,22939,131
10000,1,50000,24861,64
10000,1,50000,30266,134
10000,1,50000,3366,43
10000,1,50000,31241,147
10000,1,50000,16661,128
10000,1,50000,6850,57
10000,1,50000,14716,164
10000,1,50000,29056,20
10000,1,50000,1676,42
10000,1,50000,25360,82
10000,1,50000,16827,66
10000,1,50000,13189,125
10000,1,50000,13693,151
10000,1,50000,26495,121
10000,1,50000,12262,156
10000,1,50000,26845,95
10000,1,50000,16168,66
10000,1,50000,20897,162
10000,1,50000,20309,43
10000,1,50000,5970,142
10000,1,50000,6851,57
10000,1,50000,25126,64
10000,1,50000,11016,161
10000,1,50000,30387,72
10000,1,50000,22125,43
10000,1,50000,3583,100
10000,1,50000,17980,79
10000,1,50000,5917,98
10000,1,50000,13411,45
10000,1,50000,30403,85
10000,1,50000,17212,110
10000,1,50000,15481,146
10000,1,50000,10358,117
10000,1,50000,16977,66
10000,1,50000,27770,108
10000,1,50000,4934,134
10000,1,50000,18877,105
10000,1,50000,5559,160
10000,1,50000,21470,87
10000,1,50000,8857,109
10000,1,50000,3207,48
10000,1,50000,14162,102
10000,1,50000,31838,222
10000,1,50000,8033,96
10000,1,50000,22675,87
10000,1,50000,7223,70
10000,1,50000,16847,66
10000,1,50000,1264,39
10000,1,50000,20356,87
10000,1,50000,25810,170
10000,1,50000,29434,165
10000,1,50000,5815,142
10000,1,50000,22415,69
10000,1,50000,3277,43
10000,1,50000,20979,56
10000,1,50000,12113,68
10000,1,50000,15991,53
10000,1,50000,21043,105
10000,1,50000,28326,103
10000,1,50000,196,26
10000,1,50000,2235,45
10000,1,50000,6102,155
10000,1,50000,4019,25
10000,1,50000,10755,73
10000,1,50000,16654,66
10000,1,50000,18158,185
10000,1,50000,7548,39
10000,1,50000,17847,71
10000,1,50000,23559,82
10000,1,50000,29698,95
10000,1,50000,17275,128
10000,1,50000,22078,144
10000,1,50000,1050,31
10000,1,50000,19212,167
10000,1,50000,15322,177
10000,1,50000,13044,138
10000,1,50000,25031,113
10000,1,50000,1752,55
10000,1,50000,31037,147
10000,1,50000,23218,144
